Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante culori,Link variante,COD REFERINTA
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-oval-bronze/,BAT_8359
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-oval-gunmetal/,BAT_8358
,,,,Detroit cuadrado,Brushed steel,https://www.thebathcollection.com/en/products/detroit-square-brushed/,BAT_8342
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-square-bronze/,BAT_8344
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-cuadrado-gunmetal/,BAT_8343
,,,,Detroit circular,Brushed steel,https://www.thebathcollection.com/en/products/circular-brushed-detroit/,BAT_8339
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-circular-bronze/,BAT_8341
,,,,,Gun Metal,https://www.thebathcollection.com/en/products/detroit-circular-gunmetal/,BAT_8340
,,,,Detroit Circular B,Brushed steel,https://www.thebathcollection.com/en/products/detroit-circular-b-cepillado/,BAT_8376
,,,,,Gun metal,https://www.thebathcollection.com/en/products/detroit-circular-b-gun-metal/,BAT_8377
,,,,Hekla,White,https://www.thebathcollection.com/en/products/hekla/,BAT_4255
,,,,,Matte white,https://www.thebathcollection.com/en/products/hekla-mate/,BAT_4256
,,,Porcelain,Dinan 38 Traquita,Grey Blue,https://www.thebathcollection.com/en/products/dinan-38-trachyte-greyblue/#material,BAT_01004
,,,,,Aquamarina,https://www.thebathcollection.com/en/products/dinan-38-traquita-aguamarina/,BAT_01005
,,,,,Rose Brown,https://www.thebathcollection.com/en/products/dinan-38-trachyte-rosebrown/,BAT_01006
,,,,,Cream,https://www.thebathcollection.com/en/products/dinan-38-trachyte-cream/,BAT_01002
,,,,Seceda Oval,white,https://www.thebathcollection.com/en/products/seceda-oval/,BAT_6068
,,,,Seceda Cuadrado,white,https://www.thebathcollection.com/en/products/seceda-cuadrado/,BAT_6067
,,,,Seceda Circular,white,https://www.thebathcollection.com/en/products/seceda-circular/,BAT_6066
,,,,Dinan Circular Colors,Tan,https://www.thebathcollection.com/en/products/dinan-circular-tan/,BAT_4313
,,,,,Pearl,https://www.thebathcollection.com/en/products/dinan-circular-pearl/,BAT_4314
,,,,,Plumb,https://www.thebathcollection.com/en/products/dinan-circular-plumb/,BAT_4316
,,,,,Matte white,https://www.thebathcollection.com/en/products/dinan-circular-38-blancomate/,BAT_4151
,,,,,White,https://www.thebathcollection.com/en/products/dinan-circular-38-white/,BAT_4174
,,,,,Natural porcelain,https://www.thebathcollection.com/en/products/dinan-circular-cru/,BAT_4174/CRU
,,,,Wadi Rustico,Rustic,https://www.thebathcollection.com/en/products/wadi-rustico/,BAT_00446
,,,,Wadi Grey,Gray,https://www.thebathcollection.com/en/products/wadi-gris/,BAT_00454
,,,,New Cuenca,Natural porcelain,https://www.thebathcollection.com/en/products/new-cuenca/,BAT_4033B/CRU
,,,,Luena 1000,White,https://www.thebathcollection.com/en/products/luena-1000/,BAT_6007
,,,,Luena 600,White,https://www.thebathcollection.com/en/products/luena-600/,BAT_6006
,,,,Luena 450,White,https://www.thebathcollection.com/en/products/luena-450/,BAT_6005
,,,,Florencia,White,https://www.thebathcollection.com/en/products/florence/,BAT_4057
,,,,Belted,White,https://www.thebathcollection.com/en/products/belted/,BAT_6015
,,,,Rennes,Gray,https://www.thebathcollection.com/en/products/rennes/,BAT_4118
,,,WOOD,Damasco,Bamboo,https://www.thebathcollection.com/en/products/damasco/,BAT_5052
,,,,Agra Oval,Wood,https://www.thebathcollection.com/en/products/agra-oval/,BAT_5044
,,,,Agra Cuadrado,Wood,https://www.thebathcollection.com/en/products/agra-cuadrado/,BAT_5042
,,,Composite,Rosario,White,https://www.thebathcollection.com/en/products/rosario-blanco/,BAT_6045
