Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Nume variante/subtitlu,Variante culori,Link variante,COD REFERINTA,obs,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6134-76p5j708wf,76P5J708WF,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6134-76s5j708wf,76S5J708WF,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6134-7692j708wf,7692J708WF,,,,,
,,DUS,,Flora - Baterie bideu ,,Chrome,https://www.fantini.it/en-ww/product/186-6132-7602j704f,7602J704F,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6132-7695j704f,7695J704F,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6132-76p5j704f,76P5J704F,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6132-76s5j704f,76S5J704F,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6132-7692j704f,7692J704F,,,,,
,,,,Flora I - Cap de duș,,Chrome,https://www.fantini.it/en-ww/product/186-1227-7938k073,7938K073,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-1227-7995k073,7995K073,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-1227-79p5k073,79P5K073,,,,,
,,,,Flora - Brațe de duș,,Chrome,https://www.fantini.it/en-ww/product/186-6407-86028121,86028121,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6407-86958121,86958121,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6407-86p58121,86P58121,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6407-86s58121,86S58121,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6407-86928121,86928121,,,,,
,,,,Flora I - Baterie pentru duș,,Chrome,https://www.fantini.it/en-ww/product/186-6221-7602j787b,7602J787B+4400M687A,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6221-7695j787b,7695J787B+4400M687A,,,,,
,,,,,,Matt Gun Metal PVD,fantini.it/en-ww/product/186-6221-7695j787b,76P5J787B+4400M687A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6221-76s5j787b,76S5J787B+4400M687A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6221-7692j787b,7692J787B+4400M687A,,,,,
,,,,Flora II - Baterie pentru duș,,Chrome,https://www.fantini.it/en-ww/product/186-6224-7602j723b,7602J723B+4400M623A,,,,,
,,,,,,Polished Nickel PVD,fantini.it/en-ww/product/186-6224-7602j723b,7695J723B+4400M623A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6224-76p5j723b,76P5J723B+4400M623A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6224-76s5j723b,76S5J723B+4400M623A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6224-7692j723b,7692J723B+4400M623A,,,,,
,,,,Flora II - Baterie pentru duș,,Chrome,https://www.fantini.it/en-ww/product/186-5415-86028147,86028147,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-5415-86958147,86958147,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-5415-86p58147,86P58147,,,,,
,,,,,,Mokka PVD,fantini.it/en-ww/product/186-5415-86p58147,86S58147,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-5415-86928147,86928147,,,,,
,,,,Flora - Sistem de duș încastrat,,Chrome,https://www.fantini.it/en-ww/product/186-6235-7602j617b,7602J617B+4400R017A,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6235-7695j617b,7695J617B+4400R017A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6235-76p5j617b,76P5J617B+4400R017A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6235-76s5j617b,76S5J617B+4400R017A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6235-7692j617b,7692J617B+4400R017A,,,,,
,,,,Flora III - Baterie pentru duș,,Chrome,https://www.fantini.it/en-ww/product/186-6226-7602j872b,7602J872B+1900D372A,,,,,
,,,,,,Polished Nickel PVD,https://www.fantini.it/en-ww/product/186-6226-7695j872b,7695J872B+1900D372A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6226-76p5j872b,76P5J872B+1900D372A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6226-76s5j872b,76S5J872B+1900D372A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6226-7692j872b,7692J872B+1900D372A,,,,,
,,CADA,,Flora - Baterie înaltă freestanding cu duș,,Chrome,https://www.fantini.it/en-ww/product/186-6240-7602j780b,7602J780B+4400R080A,,,,,
,,,,,,Polished Nickel PVD,fantini.it/en-ww/product/186-6240-7602j780b,7695J780B+4400R080A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6240-76p5j780b,76P5J780B+4400R080A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6240-76s5j780b,76S5J780B+4400R080A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6240-7692j780b,7692J780B+4400R080A,,,,,
,,,,Flora - Set de cadă încastrat,,Chrome,https://www.fantini.it/en-ww/product/186-6233-7602j619b,7602J619B+4400R019A,,,,,
,,,,,,Polished Nickel PVD,fantini.it/en-ww/product/186-6233-7602j619b,7695J619B+4400R019A,,,,,
,,,,,,Matt Gun Metal PVD,https://www.fantini.it/en-ww/product/186-6233-76p5j619b,76P5J619B+4400R019A,,,,,
,,,,,,Mokka PVD,https://www.fantini.it/en-ww/product/186-6233-76s5j619b,76S5J619B+4400R019A,,,,,
,,,,,,Brushed Steel Look PVD,https://www.fantini.it/en-ww/product/186-6233-7692j619b,7692J619B+4400R019A,,,,,
,,DE BLAT,Marcel Wanders,AW/PIPE II - Baterie înaltă ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5234-20p5t407wu,20P5T407WU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5234-2093t407wo9u,2093T407WO9U,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5234-2093t407wu,2093T407WU,,,,,
,,,,AW/PIPE I - Baterie înaltă ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5238-20p5t607wu,20P5T607WU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5238-2093t607wo9u,2093T607WO9U,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5238-2093t607wu,2093T607WU,,,,,
,,DE PERETE,,AW/PIPE I - Baterie încastrată,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5236-20p5t513bu,20P5T513BU+4400M011AU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5236-2093t513buo9,2093T513BUO9+4400M011AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5236-2093t513bu,2093T513BU+4400M011AU,,,,,
,,,,AW/PIPE II - Baterie încastrată,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5235-20p5t413bu,20P5T413BU+4400R010AU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5235-2093t413buo9,2093T413BUO9+4400R010AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5235-2093t413bu,2093T413BU+4400R010AU,,,,,
,,DUS,,AW/PIPE II - Sistem de duș încastrat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5316-20p5t584bu,20P5T584BU+4400R084AU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5316-2093t584buo9,2093T584BUO9+4400R084AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5316-2093t584bu,2093T584BU+4400R084AU,,,,,
,,CADA,,AW/PIPE - Baterie înaltă freestanding cu duș,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5250-20p5t580bu,20P5T580BU+4400R080AU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5250-2093t580buo9,2093T580BUO9+4400R080AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5250-2093t580bu,2093T580BU+4400R080AU,,,,,
,,,,AW/PIPE - Set de cadă încastrat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/126-5247-20p5t521bu,20P5T521BU+4400R021AU,,,,,
,,,,,,Brushed Stainless Steel - Red,https://www.fantini.it/en-us/product/126-5247-2093t521buo9,2093T521BUO9+4400R021AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/126-5247-2093t521bu,2093T521BU+4400R021AU,,,,,
,,DE BLAT,Studiocharlie,AC/ECLIPSE - Baterie joasă,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5373-40p5l504wu,40P5L504WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5373-4093l504wu,4093L504WU,,,,,
,,,,AC/ECLIPSE - Baterie înaltă ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5393-40p5l506wu,40P5L506WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5393-4093l506wu,4093L506WU,,,,,
,,,,AC/ECLIPSE I - Baterie înaltă ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5374-40p5l807wu,40P5L807WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5374-4093l807wu,4093L807WU,,,,,
,,,,AC/ECLIPSE II - Baterie înaltă ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5379-40p5l607wu,40P5L607WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5379-4093l607wu,4093L607WU,,,,,
,,DE PERETE,,AC/ECLIPSE I - Baterie încastrată,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5376-40p5l513bu,40P5L513BU+4000D711AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5376-4093l513bu,4093L513BU+4000D711AU,,,,,
,,,,AC/ECLIPSE II - Baterie încastrată,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5377-40p5l613bu,40P5L613BU+4000D810AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5377-4093l613bu,4093L613BU+4000D810AU,,,,,
,,FREESTANDING,,AC/ECLIPSE - Baterie înaltă freestanding,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5375-40p5l536bu,40P5L536BU+4000D736AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5375-4093l536bu,4093L536BU+4000D736AU,,,,,
,,,,AC/ECLIPSE - Pipă înaltă freestanding,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5378-40p5z240bu,40P5Z240BU+4000Z240AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5378-4093z240bu,4093Z240BU+4000Z240AU,,,,,
,,,,AC/ECLIPSE - Control separat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5383-40p5l563bu,40P5L563BU+4000D763AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5383-4093l563bu,4093L563BU+4000D763AU,,,,,
,,DE BIDEU,,AC/ECLIPSE - Baterie bideu ,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5380-40p5l508wu,40P5L508WU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5380-4093l508wu,4093L508WU,,,,,
,,DUS,,AC/ECLIPSE - Sistem de duș încastrat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5385-40p5l773bu,40P5L773BU+4000D973AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5385-4093l773bu,4093L773BU+4000D973AU,,,,,
,,CADA,,AC/ECLIPSE - Set de cadă încastrat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5390-40p5l521bu,40P5L521BU+4000D721AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5390-4093l521bu,4093L521BU+4000D721AU,,,,,
,,,,AC/ECLIPSE - Set de cadă de blat,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5389-40p5l667u,40P5L667U,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5389-4093l667u,4093L667U,,,,,
,,,,AC/ECLIPSE - Baterie înaltă freestanding cu duș,,Matte Gun Metal PVD,https://www.fantini.it/en-us/product/124-5391-40p5l580bu,40P5L580BU+4000D736AU,,,,,
,,,,,,Brushed Stainless steel,https://www.fantini.it/en-us/product/124-5391-4093l580bu,4093L580BU+4000D736AU,,,,,
